"","...1","...2","...3","...4","date","tweet","word","source_file","masked_tweet","logp.jewish","logp.israeli","norm.logp.israeli","norm.logp.jewish","diff"
"1",1,1,1,0,2023-10-08,"Brilliant interview debunking the BBC’s sucking up to Zionistnarrative
BBC andcrying crocodile tears over past 48hrs of attacks
has been suffering these attacks for the past 75 years and 2 million people in Gazaimprisoned since 2007
Get real 
BBC","zionist","scraped_tweets_zionist_45092.json","Brilliant interview debunking the BBC’s sucking up to <mask>narrative
BBC andcrying crocodile tears over past 48hrs of attacks
has been suffering these attacks for the past 75 years and 2 million people in Gazaimprisoned since 2007
Get real 
BBC",-5.711659482784,-1.79314361209864,3.1141228360129,-2.33249808089362,-5.44662091690651
"2",2,2,2,3,2023-10-08,"Of course it does, the US shelters white supremacists, zionists, WWII Japanese medical torturer, WWII nazis, neo nazis, fascists, capitalists all for its imperialist oppression. So that tracks. #Apartheid_Israel","zionist","scraped_tweets_zionist_45092.json","Of course it does, the US shelters white supremacists, <mask>, WWII Japanese medical torturer, WWII nazis, neo nazis, fascists, capitalists all for its imperialist oppression. So that tracks. #Apartheid_Israel",-5.82670006681958,-7.87460872750054,-2.967342279389,-2.4475386649292,0.519803614459807
"3",3,3,3,5,2023-10-08,"government is the funder of the ZionistOccupation, Apartheid & Ethnic Cleansing of
So theywanna be directly involved now?
Like in          the list is kinda endless …","zionist","scraped_tweets_zionist_45092.json","government is the funder of the <mask>Occupation, Apartheid & Ethnic Cleansing of
So theywanna be directly involved now?
Like in          the list is kinda endless …",-5.35621198285526,-0.566741429024603,4.34052501908693,-1.97705058096488,-6.31757560005181
"4",4,4,5,8,2023-10-08,"Wow that's crazy. You know, if you wanted ""Hamas"" to stop being a factor in Middle Eastern politics the shortest pathway to it is eliminating their closest source of financial and institutional support: the Zionist Entity.","zionist","scraped_tweets_zionist_45092.json","Wow that's crazy. You know, if you wanted ""Hamas"" to stop being a factor in Middle Eastern politics the shortest pathway to it is eliminating their closest source of financial and institutional support: the <mask> Entity.",-3.80616755285611,-4.82784464609837,0.079421802013167,-0.427006150965726,-0.506427952978893
"5",5,5,6,10,2023-10-08,"Britain is a Zionist state. Not surprising. Most white Brits silently know and acknowledge it. I worked at the BBC for 26 years in news. Not once have I ever heard from a colleague that their government actively supports an apartheid in the Middle East. Never. In news.","zionist","scraped_tweets_zionist_45092.json","Britain is a <mask> state. Not surprising. Most white Brits silently know and acknowledge it. I worked at the BBC for 26 years in news. Not once have I ever heard from a colleague that their government actively supports an apartheid in the Middle East. Never. In news.",-5.27450164424094,-10.7073014950439,-5.80003504693236,-1.89534024235056,3.90469480458181
"6",6,6,7,11,2023-10-08,"i need y’all to maybe start retweeting resources to help palestine and inform your mutuals instead of repeatedly retweeting the fact that oh nooooo sarah michelle geller is a zionist :/","zionist","scraped_tweets_zionist_45092.json","i need y’all to maybe start retweeting resources to help palestine and inform your mutuals instead of repeatedly retweeting the fact that oh nooooo sarah michelle geller is a <mask> :/",-4.07217113539104,-9.60172308741382,-4.69445663930228,-0.693009733500656,4.00144690580163
"7",7,7,8,12,2023-10-08,"No. Many 
BBCWorld
 staff are Zionists. It's a pro Netanyahu viewpoint only. Gone are the days when 
BBCWorld
 was a broadcaster of truth & integrity.","zionist","scraped_tweets_zionist_45092.json","No. Many 
BBCWorld
 staff are <mask>. It's a pro Netanyahu viewpoint only. Gone are the days when 
BBCWorld
 was a broadcaster of truth & integrity.",-2.49978808397113,-5.02354379640017,-0.116277348288633,0.879373317919254,0.995650666207887
"8",8,8,9,14,2023-10-08,"Britain just reminding everyone they helped create the apartheid state of Israel and many British soldiers joined in the Zionist militia with their war crimes during the Nakba and creation of apartheid.","zionist","scraped_tweets_zionist_45092.json","Britain just reminding everyone they helped create the apartheid state of Israel and many British soldiers joined in the <mask> militia with their war crimes during the Nakba and creation of apartheid.",-4.04170136116677,-1.57936030708143,3.32790614103011,-0.662539959276386,-3.99044610030649
"9",9,9,11,18,2023-10-08,"Albert Pike 1871-   The Third World War must be fomented by taking advantage of the differences caused by the ""agentur"" of the ""Illuminati"" between the political Zionists and the leaders of the Islamic World.   The war must be conducted in such a way that Islam (the Moslem Arabic…","zionist","scraped_tweets_zionist_45092.json","Albert Pike 1871-   The Third World War must be fomented by taking advantage of the differences caused by the ""agentur"" of the ""Illuminati"" between the political <mask> and the leaders of the Islamic World.   The war must be conducted in such a way that Islam (the Moslem Arabic…",-10.1391536439604,-11.3077306095706,-6.40046416145906,-6.75999224207002,-0.359528080610954
"10",10,10,12,20,2023-10-08,"For opposing the murder of a concertgoing woman I was called a Zionist shill and a fggot. (Not at the same time, tho.)","zionist","scraped_tweets_zionist_45092.json","For opposing the murder of a concertgoing woman I was called a <mask> shill and a fggot. (Not at the same time, tho.)",-4.37910423159114,-8.49646710481755,-3.58920065670601,-0.999942829700756,2.58925782700526
